village_id,ts,new_owner,old_owner,extra
14071,1787941427,1577073064,0,
14482,1787980711,1577073064,0,
12705,1787996096,1577433791,0,
14476,1788002146,1576608156,0,
8906,1788022432,1577465086,0,
1898,1788044596,1577489257,0,
4657,1788044677,1577522507,0,
10085,1788045683,1577261773,0,
10109,1788046851,1576664222,0,
6848,1788052624,1577489257,0,
17062,1788064362,10192925,0,
3055,1788088934,1576839110,0,
9961,1788094600,9642632,0,
16049,1788096099,9888572,0,
9684,1788100457,1577465086,0,
19041,1788102787,10192925,0,
10090,1788108635,9642632,0,
5266,1788111249,1576839110,0,
4201,1788111914,1577375163,0,
163,1788112575,1577544203,0,
14819,1788114870,1577073064,0,
9945,1788114908,1576664222,0,
16577,1788115429,1576608156,0,
10118,1788118892,1576716190,0,
10118,1788118892,1576716190,1576716190,
6690,1788124432,1577489257,0,
6753,1788125249,1577537931,0,
1821,1788126295,1577489257,0,
10236,1788128085,1577465086,0,
9867,1788128594,1577530583,0,
17490,1788130363,9888572,0,
10546,1788133907,760440,0,
13166,1788138846,1577433791,0,
14372,1788143532,1576608156,0,
7187,1788151612,1577538578,0,
10595,1788154031,9642632,0,
6355,1788155637,300633,0,
18645,1788156008,10192925,0,
19692,1788156953,1577405536,0,
8056,1788159225,1576298928,0,
7765,1788163478,1576298928,0,
9993,1788163698,591854,0,
12315,1788165894,1577204896,0,
8842,1788169136,1577332558,1577511036,
10345,1788170312,1576979580,0,
8702,1788173659,1577388261,1577543023,
2400,1788174981,1577538578,8762448,
16131,1788175340,1577405536,0,
10198,1788176216,1577444909,0,
17355,1788176345,8927127,0,
2344,1788176551,1577537931,0,
12861,1788178299,1577526543,0,
3973,1788184477,9857437,1577410712,
9346,1788185303,760440,0,
8284,1788186879,1577332558,1577537070,
2285,1788188109,1577375163,0,
1102,1788188143,1577349938,0,
12285,1788188673,9285938,1577449847,
14381,1788190066,8609191,0,
4620,1788190569,1577426417,0,
18865,1788191827,9888572,0,
5071,1788192917,300633,0,
20668,1788193977,1577059736,0,
4503,1788194317,1577465086,0,
2184,1788194442,1577544203,0,
4336,1788195138,1577538578,0,
8424,1788196035,1577455151,1577539379,
13629,1788196170,1577498626,0,
14143,1788197527,1577452508,0,
2943,1788198631,2314840,1576612841,
3615,1788199488,1577522507,0,
3544,1788199540,1577203775,0,
8310,1788200338,8816541,0,
10711,1788201371,1819870,0,
17106,1788201442,10192925,0,
10046,1788202197,1577504686,1577543575,
9197,1788203438,1576979580,0,
12963,1788204215,1577534253,0,
10907,1788205028,1577394742,0,
12968,1788205980,1577522946,9956736,
10886,1788206705,9277021,1577513148,
9664,1788208794,1577530583,0,
1416,1788209270,1577544203,0,
8082,1788212916,9857437,1128115,
6054,1788214120,1577484370,0,
11152,1788216201,9642632,1577444599,
8062,1788219610,1577349938,0,
