run_utc,trigger,result,world_changed,data_last_modified,players,villages,allies,new_conquers,world_requests,guest_requests,inaday_changed_types,inaday_full_scrape,duration_s,errors
2026-09-12T19:14:51+00:00,push,neu,1,"Sat, 12 Sep 2026 18:52:54 GMT",10151,29973,415,0,8,7,,0,14.2,
2026-09-12T19:17:35+00:00,push,unverändert,0,"Sat, 12 Sep 2026 18:52:54 GMT",10151,29973,415,,1,7,,0,10.8,
2026-09-12T20:03:15+00:00,schedule,neu,1,"Sat, 12 Sep 2026 19:53:02 GMT",10174,30030,415,16,8,7,,0,17.7,
2026-09-12T20:37:55+00:00,push,neu,1,"Sat, 12 Sep 2026 19:52:54 GMT",10174,30030,415,0,8,7,,0,14.6,
2026-09-12T20:41:27+00:00,push,neu,1,"Sat, 12 Sep 2026 19:53:02 GMT",10174,30021,415,0,8,7,,0,14.0,
2026-09-12T21:03:09+00:00,schedule,neu,1,"Sat, 12 Sep 2026 20:47:12 GMT",10184,30054,415,21,8,7,,0,17.8,
2026-09-12T22:03:11+00:00,schedule,neu,1,"Sat, 12 Sep 2026 21:52:53 GMT",10193,30096,415,8,8,133,loot_vil loot_res scavenge kill_att kill_def kill_sup,1,183.0,
2026-09-12T22:31:16+00:00,push,unverändert,0,"Sat, 12 Sep 2026 21:52:53 GMT",10193,30096,415,,1,7,,0,11.5,
2026-09-12T23:03:12+00:00,schedule,neu,1,"Sat, 12 Sep 2026 22:47:12 GMT",10197,30111,416,17,8,7,,0,14.2,
2026-09-12T23:22:08+00:00,push,unverändert,0,"Sat, 12 Sep 2026 22:47:12 GMT",10197,30111,416,,1,7,,0,10.8,
