id,name,ally,villages,points,att,def,sup,all
1577507687,Yiratil,0,1,452,0,0,0,0
1577507689,Kefval,0,1,465,0,0,0,0
1577507695,Lynxanest,0,1,630,0,0,0,0
1577507699,Sagivor,0,1,419,0,859,0,859
1577507702,Ricvoe,0,1,455,0,0,0,0
1577507707,Morkaprim,0,1,621,0,0,0,0
1577507708,Bohdun,0,1,448,0,0,0,0
1577507710,Vaeledge,0,1,482,0,0,0,0
1577507718,Kreeros,0,1,444,0,0,0,0
1577507721,Vrekawik,0,1,473,0,1598,0,1598
1577507726,Brockahal,0,1,26,0,1742,0,1742
1577507731,Graakyl,0,1,488,0,2831,0,2831
1577507906,Max08,501,1,278,0,5979,0,5979
1577507962,Bodum,0,1,394,0,0,0,0
1577507997,Sonnenstachel,0,1,69,0,0,0,0
1577508011,VinBenzin2,541,1,1430,0,169,1042,1211
1577508048,Yilalor,0,1,644,0,0,0,0
1577508156,Macphisto,444,1,2293,0,0,0,0
1577508163,SkyElite,0,1,343,0,0,0,0
1577508260,Diti,0,1,26,0,0,0,0
1577508383,Smokkyy,0,1,2657,0,0,0,0
1577508577,Proxyprügler.,0,0,0,0,1603,0,1603
1577508727,salty01234,0,1,734,0,0,0,0
1577508728,kombinat0r,0,1,595,0,1819,0,1819
1577508730,S0METHINGWILD98,0,1,734,0,0,0,0
1577508732,Der letzte Germane,0,1,703,0,0,0,0
1577508795,Ffmskater,384,2,4477,155,220,0,375
1577508796,Fritz-Kola,179,1,849,90,0,0,90
1577508809,fruchtpups,0,1,749,0,91,0,91
1577508886,ZarahZebra1975,541,1,1008,0,2448,0,2448
1577508888,MARANATHA,621,1,161,0,2389,0,2389
1577508892,rotatable,541,1,1401,0,0,0,0
1577508911,Weinschorle64,0,1,811,0,136,0,136
1577508929,Starscaller,444,4,13231,3444,4163,0,7607
1577508969,Devil Inside,0,1,350,0,68,0,68
1577508971,G-Force,0,1,728,0,0,0,0
1577508972,Mr. Mystery,0,0,0,0,4917,0,4917
1577508973,Gollum feat. Obi wan,0,1,741,0,0,0,0
1577508974,Black-Energie,0,1,748,0,0,0,0
1577508975,Coffee-to-go,0,1,766,0,0,0,0
1577508978,Sexy Hexi,0,1,777,0,23,0,23
1577508983,Cheeseburger,0,1,738,0,0,0,0
1577508994,David3333,621,1,938,0,3590,0,3590
1577509262,RonjaRaumpilot,0,1,750,0,0,0,0
1577509286,TobiBlyad,0,1,26,0,0,0,0
1577509313,FireFighter2025,0,1,1569,0,0,0,0
1577509315,Twixx,150,6,19884,11275,52,46,11373
1577509322,Melia,0,1,1028,0,0,0,0
1577509327,Herzigi,0,1,179,0,416,0,416
1577509496,Paschii,0,1,177,0,0,0,0
1577509505,Stoffel420,0,1,1155,0,104,0,104
1577509515,Jens,0,3,7488,0,837,322,1159
1577509614,wattendatten,0,1,1216,0,2628,0,2628
1577509663,DeffOnly,0,1,642,0,325,0,325
1577509677,Blegie,0,1,887,19,0,0,19
1577509752,antonaustirol,0,1,1298,0,0,0,0
1577509861,Grasshüpfer,277,1,629,0,11304,1859,13163
1577509881,mtsz,0,1,89,0,0,0,0
1577509955,himmel96,0,1,223,0,0,0,0
1577510042,Küken,0,1,248,0,0,0,0
1577510088,Mettigel89,61,1,2919,0,0,0,0
1577510093,Vergessen,0,1,712,0,0,0,0
1577510121,LEGLESSLEGOLAS,0,1,477,0,0,0,0
1577510135,Bruder muss los,0,1,678,0,0,0,0
1577510147,Brownej,0,1,1321,0,3758,0,3758
1577510325,K. O. Nig,0,1,466,0,6382,0,6382
1577510395,Nemesis75,0,0,0,0,115,0,115
1577510412,giannnnii,185,1,887,0,8,0,8
1577510430,Wolkigwild,160,4,5603,0,562,1,563
1577510436,Shoxx0420,0,1,596,0,840,0,840
1577510445,PartyPikachu,0,1,195,0,0,0,0
1577510539,Azuloth,0,1,683,0,0,0,0
1577510542,Protariel,0,1,673,0,0,0,0
1577510543,Tenearon,0,1,726,0,0,0,0
1577510546,Ossalyr,0,1,452,0,0,0,0
1577510549,Karnsir,0,1,482,0,0,0,0
1577510551,Borgazek,0,1,652,0,0,0,0
1577510553,Ornahiel,0,1,665,0,0,0,0
1577510556,Infacion,0,1,484,0,0,0,0
1577510557,Metanus,0,1,509,0,835,0,835
1577510558,Phloxaley,0,1,668,0,0,0,0
1577510563,Poxflare,0,1,26,0,794,0,794
1577510565,Wrathrig,0,1,423,0,0,0,0
1577510566,Nertusk,0,1,799,0,1810,0,1810
1577510569,Vrixahur,0,1,448,0,0,0,0
1577510570,Tzadnyl,0,1,520,0,1586,0,1586
1577510571,Oldamech,0,1,651,0,0,0,0
