id,name,tag,members,villages,points,all_points,rank
261,1111,11,1,1,553,553,406
262,Dorfscout 24 GmbH,SCOUT,14,47,116535,116535,60
264,FlaGGENTAUSCHCLUB,ftc,3,2,2128,2128,311
266,PP-Squad,Squad?,8,49,181056,181056,39
268,Agentur für Arbeit,=Arge=,1,1,1752,1752,323
270,Brotherhood,BH,1,1,1010,1010,366
271,PP-Dorf,heute,1,0,1895,1895,321
272,practizz project,prapro,1,1,236,236,443
275,"Trust me, bro",BRO,3,5,20747,20747,165
276,Die Mondschatten,~MOND~,17,27,74920,74920,75
277,Unbekannt,UFO,24,44,111872,111872,62
278,Gringen ohne Geld,GoG,1,0,460,460,419
281,Name ist Wurscht,Nice2,11,16,30048,30048,138
282,Strohhutpiraten,Stroh,23,70,171204,171204,41
283,asdfg,asd,1,1,934,934,373
284,FARM AG,F-AG,1,1,467,467,417
285,Comeback,CB,21,58,213520,213520,33
287,AMEISEN,AME,4,4,7230,7230,224
288,poki.de 67 67 67 67,pok,1,1,345,345,431
289,Klosterfanboy,H0RTUS,1,0,0,0,468
290,Royal Bashing Crew,RBC,5,3,8769,8769,210
291,Neugoten,1.1.15,1,1,2875,2875,281
293,Nanook is back,Nanook,25,91,242356,242356,32
295,Schwarze Legion,[SL],24,58,135551,135551,51
296,Bash,Bash,2,2,4300,4300,256
297,Cooler Stamm,CS,1,1,2787,2787,284
298,Kleines Folk,GroSS,3,4,5438,5438,237
301,PP_Farm,PP_F,1,1,502,502,413
306,Die Auserwählten,AUSER,5,3,1665,1665,326
307,Das Königreich,DKR,2,5,7767,7767,218
308,Eins-Zwei-Drei,1-2-3,1,11,22634,22634,156
310,GermanElite,Get,1,1,1489,1489,334
311,High Nobility Squad!,Adel!,11,12,21227,21227,163
312,Die sturen Westfalen,~DSW~,24,27,52407,52407,97
313,Valhalla Rising,{VLR},12,18,47754,47754,104
314,Europäische Union der Stämme,EUS,24,32,58902,58902,87
316,PP GmbH und Co. KG,-PP-,13,12,19682,19682,168
